Anno,Stagione,Puntata,Location,Tema,Prima visione,Categoria speciale,Concorrenti,Vincitore,Titolare,Unnamed: 9
2015,1,1,Milano,Miglior ristorante post-etnico di Milano,04-mar-15,,"Bomaki, la Gnoccheria, Smøøshi, The Boidem",Smøøshi,Luca,
2015,1,2,Romagna,Miglior ristorante della Romagna,11-mar-15,,"La Saluma, La Brasserie, Kiosquito 46, La Mi Mama",Kiosquito46,Nicoletta,
2015,1,3,Matera,Miglior ristorante granitico di Matera,18-mar-15,,"900 restaurant, Stano, Il mare nei sassi, Abbondanza lucana",Stano,Franco,
2015,1,4,Puglia,Miglior ristorante a conduzione familiare della Puglia,25-mar-15,,"Farmacia dei Sani, La Locanda del fu Giovanni, Torre di Angelucco, Anthony Marra",Farmacia dei Sani,Fabio,
2015,1,5,Roma,Miglior ristorante stravagante di Roma,1º aprile 2015,,"Teatro Centrale, La Maisonnette, Ristoaereo, Romeow Cat Bistrot",Romeow Cat Bistrot,Valentina,
2015,1,6,Trentino-Alto Adige,Miglior ristorante in alta quota del Trentino,08-apr-15,,"Rifugio Maranza, Malga Millegrobbe, Fienile Monte, La stua de Zach",Rifugio Maranza,Paolo,
2015,2,1,Promontorio dell'Argentario,Miglior ristorante con vista sull'Argentario,10-nov-15,,"Gourmet Con Gusto, Le Plaisir du Vin, Tuscany Bay, Dal Greco",Gourmet Con Gusto,Stefano,
2015,2,2,Marche,Miglior ristorante delle Marche gestito da marito e moglie,17-nov-15,,"Il Gambero da Tato, La Croisette, Il Desco, Al Piccolo Teatro",La Croisette,Ruggero,
2015,2,3,Ferrara,Miglior ristorante di cucina sperimentale di Ferrara,24-nov-15,,"La Regina di Cuori, Lemokò, Apelle, Fuocolento",Apelle,Maura,
2015,2,4,Riviera delle Palme,Miglior ristorante al femminile della Riviera delle Palme,1º dicembre 2015,,"Il Ritorno di Baianita, Sotto Sale, L’Osteria del Castel Gavone, MuMa",MuMa,Francesca,
2015,2,5,Cuneo,Miglior ristorante carnivoro di Cuneo,08-dic-15,,"Osteria dei colori, Osteria vecchio borgo, La Mucca pazza, Ristorantino L'Oca Nera",Ristorantino L'Oca Nera,Federico,
2015,2,6,Aosta,Miglior ristorante con cena di Natale della Valle d'Aosta,15-dic-15,,"Ristorante Giuliani, Lou Bequet, Lo Riondet, Signori di Avise",Signori di Avise,Ismaele,
2015,2,7,Milano,"Miglior ristorante sano, buono ed ecosostenibile di Milano",12-gen-16,,"Capra e cavoli, Shaolin state of harmony, Ghea, Bottega Ghiotta Gourmet",Ghea,Roberto,
2015,2,8,Napoli,Miglior pizzeria innovativa di Napoli,19-gen-16,,"Fresco, Concettina ai Tre Santi, La Figlia del Presidente, Pizza Gourmet",Pizza Gourmet,Giuseppe,
2015,2,9,Etruria,Miglior trattoria di confine,26-gen-16,,"Da Gianfranco, Hosteria da Pantalla, Da Ciccio alla Capannaccia, Duca di Orvieto",Da Ciccio alla Capannaccia,Ciccio,
2015,2,10,Catania,Miglior ristorante under 30 di Catania,02-feb-16,,"Buatta, Km0, Corte di Biscari, Officina del Gusto",Km0,Marco,
2016,3,1,Emilia,Miglior ristorante di pasta fresca della via Emilia,29-nov-16,,"Osteria in Scandiano, Mentana 104, Antica osteria Vecchia Pirri, Marta in Cucina",Osteria In Scandiano,Andrea,
2016,3,2,Lago di Garda,Miglior ristorante di cucina di lago,06-dic-16,,"Molin 22, Agriturismo Dalie e Fagioli, Osteria Tirabusù, Trattoria alle Rose",Agriturismo Dalie e Fagioli,Antonella,
2016,3,3,Salento,Miglior masseria al femminile del Salento,13-dic-16,,"Masseria Melcarne, Relais Masseria Capasa, Masseria Scagnito, Masseria Le Fabriche",Masseria Scagnito,Chiara,
2016,3,4,Provincia di Trento,Miglior ristorante con cenone di Natale più curioso del Trentino,20-dic-16,,"Alla corte dei Toldi, Home Stube, Sissi Stube, Solarium Predaia",Corte Dei Toldi,Andrea,
2016,3,5,Londra,Miglior ristorante italiano del terzo millennio a Londra,27-dic-16,,"Il Macellaio, In Parma by food roots, Casa Sibilla, Gola",Il Macellaio,Roberto,
2016,3,6,Trieste,Miglior ristorante di frontiera di Trieste,03-gen-17,,"C’era una Volta, Trattoria Antico Spazzacamino, Chimera di Bacco, Trattoria ai Fiori",Chimera Di Bacco,Luca,
2016,3,7,Milano,Miglior griglieria di carne di Milano,10-gen-17,,"La griglia di Varrone, Muu house, Filetteria Italiana, San Telmo",San Telmo,Aixa,
2016,3,8,"Novara, Vercelli e Pavia",Miglior ristorante di riso del triangolo del riso,17-gen-17,,"Acquamatta, Tenuta Camillo, Il Bianco e l’Augusto, Trattoria Paolino",Trattoria Paolino,Paolino,
2016,3,9,Alta Valtellina,Miglior ristorante di cucina di bosco della Valtellina,24-gen-17,,"Baita dei Pini, Enoteca Guanella, Agriturismo La Tresenda, Camino Restaurant",Agriturismo La Tresenda,Barbara,
2016,3,10,Torino,Miglior trattoria urbana di Torino,31-gen-17,,"Gaudenzio, L'orto già Salsamentario, Cenerentola pret-a-manger, Sorij Nouveau",Gaudenzio,Stefano,
2018,4,1,Genova,Miglior ristorante dei Caruggi genovesi,16-gen-18,Pesto alla genovese,"20Tre, C’era una volta, Le cantine Squarciafico, Moa - Cashmere&Lobster",C'era Una Volta,Francesca,
2018,4,2,Pescara e Costa dei Trabocchi,Miglior ristorante nel mare d'Abruzzo,23-gen-18,Pesce fresco,"Lido Cortesito, Penelope a mare, Trabocco di San Giacomo, Trabocco Punta Rocciosa",Penelope A Mare,Francesca,
2018,4,3,Bologna,Miglior osteria di Bologna,30-gen-18,Ragù alla bolognese,"Al Cambio 3.0, Trattoria da me, L’Osteria della Lanterna, L’Osteria al 15",Trattoria Da Me,Elisa,
2018,4,4,Langhe e Roero,Miglior ristorante under 30 di Langhe e Roero,06-feb-18,Vitello tonnato,"Osteria Il Cortile, Ristorante Museum, Eremo della Gasprina, Osteria la Pimpinella",Ristorante Museum,Marta,
